id,kode_kabupaten_atau_kota,kode_komoditas,ketersediaan,kebutuhan,harga,tahun,bulan,minggu
1,3201,3001,355,320,28000,2021,7,2
2,3201,3001,972,972,31500,2021,7,2
3,3203,3001,209,105,30000,2021,7,2
4,3204,3001,0,0,32000,2021,7,2
5,3205,3001,1002.88,94.96,24000,2021,7,2
6,3206,3001,195,145,31000,2021,7,2
7,3207,3001,55,56,32750,2021,7,2
8,3208,3001,261,447,29000,2021,7,2
9,3209,3001,758,257,29000,2021,7,2
10,3210,3001,1428,54,30000,2021,7,2
11,3211,3001,12,406,30000,2021,7,2
12,3212,3001,60,63,28000,2021,7,2
13,3213,3001,5,0.05,32000,2021,7,2
14,3214,3001,33,5,28000,2021,7,2
15,3215,3001,37.6,34.34,29300,2021,7,2
16,3216,3001,0,234,31200,2021,7,2
17,3217,3001,25,0.63,32000,2021,7,2
18,3218,3001,1,25,30000,2021,7,2
19,3271,3001,68.15,58.8,30000,2021,7,2
20,3272,3001,37,38,30000,2021,7,2
21,3273,3001,959,917,32000,2021,7,2
22,3274,3001,40.98,11.75,29000,2021,7,2
23,3275,3001,159.04,29,30000,2021,7,2
24,3276,3001,40,38,30667,2021,7,2
25,3277,3001,0.25,0.39,29000,2021,7,2
26,3278,3001,40.5,38.25,24000,2021,7,2
27,3279,3001,18,9,30000,2021,7,2
28,3201,3002,514,501,24000,2021,7,1
29,3201,3002,352,60,33000,2021,7,1
30,3203,3002,591,70,27429,2021,7,1
31,3204,3002,0,0,42222,2021,7,1
32,3205,3002,3120.43,32.58,28200,2021,7,1
33,3206,3002,271,135,30000,2021,7,1
34,3207,3002,18,15,36250,2021,7,1
35,3208,3002,10,13,25000,2021,7,1
36,3209,3002,13,181,24000,2021,7,1
37,3210,3002,148,27,39200,2021,7,1
38,3211,3002,83,10,35000,2021,7,1
39,3212,3002,1,6,25000,2021,7,1
40,3213,3002,117,0.05,30000,2021,7,1
41,3214,3002,35000,1,26000,2021,7,1
42,3215,3002,38.21,38.19,30000,2021,7,1
43,3216,3002,0,5.25,28000,2021,7,1
44,3217,3002,262.8,21.29,30000,2021,7,1
45,3218,3002,6,9,25000,2021,7,1
46,3271,3002,78.27,74.7,25000,2021,7,1
47,3272,3002,3,1,28000,2021,7,1
48,3273,3002,56,49,32000,2021,7,1
49,3274,3002,92.14,16.32,22000,2021,7,1
50,3275,3002,67.86,9.55,45000,2021,7,1
51,3276,3002,25,24,20667,2021,7,1
52,3277,3002,5.26,0.39,32300,2021,7,1
53,3278,3002,85.75,81.25,28000,2021,7,1
54,3279,3002,5,2,28000,2021,7,1
55,3201,3001,328,320,30000,2021,7,1
56,3201,3001,972,972,30000,2021,7,1
57,3203,3001,239,105,30000,2021,7,1
58,3204,3001,0,0,26888,2021,7,1
59,3205,3001,1002.88,94.96,20000,2021,7,1
60,3206,3001,205,139,30000,2021,7,1
61,3207,3001,55,56,32250,2021,7,1
62,3208,3001,205,395,28000,2021,7,1
63,3209,3001,758,257,29000,2021,7,1
64,3210,3001,1416,54,30800,2021,7,1
65,3211,3001,12,406,30000,2021,7,1
66,3212,3001,64,66,28000,2021,7,1
67,3213,3001,5,0.05,30000,2021,7,1
68,3214,3001,33,5,28000,2021,7,1
69,3215,3001,37.4,34.34,30800,2021,7,1
70,3216,3001,0,234.31,31125,2021,7,1
71,3217,3001,25,0.63,24000,2021,7,1
72,3218,3001,0,25,30000,2021,7,1
73,3271,3001,68.34,58.96,32000,2021,7,1
74,3272,3001,37,38,32000,2021,7,1
75,3273,3001,959,917,31000,2021,7,1
76,3274,3001,43.53,11.75,30000,2021,7,1
77,3275,3001,159.04,29,30000,2021,7,1
78,3276,3001,40,38,28333,2021,7,1
79,3277,3001,0.29,0.39,27800,2021,7,1
80,3278,3001,40.5,38.25,22000,2021,7,1
81,3279,3001,17,9.1,30000,2021,7,1
82,3201,3003,434,428,44500,2021,7,1
83,3201,3003,276,102,50000,2021,7,1
84,3203,3003,381,179,50000,2021,7,1
85,3204,3003,0,0,52777,2021,7,1
86,3205,3003,845.21,100.11,46600,2021,7,1
87,3206,3003,288,125,40000,2021,7,1
88,3207,3003,11,40,40000,2021,7,1
89,3208,3003,14,28,30000,2021,7,1
90,3209,3003,0,108,49000,2021,7,1
91,3210,3003,224,44,41000,2021,7,1
92,3211,3003,27,33,45000,2021,7,1
93,3212,3003,1,3,30000,2021,7,1
94,3213,3003,19,0.05,50000,2021,7,1
95,3214,3003,31,1,50000,2021,7,1
96,3215,3003,35.27,35.25,35000,2021,7,1
97,3216,3003,0,7.87,48875,2021,7,1
98,3217,3003,335.3,60.04,45000,2021,7,1
99,3218,3003,6,18,50000,2021,7,1
100,3271,3003,93.77,90.27,55000,2021,7,1
101,3272,3003,3,1,55000,2021,7,1
102,3273,3003,483,427,50000,2021,7,1
103,3274,3003,53.68,7.17,40000,2021,7,1
104,3275,3003,45.99,7.3,35000,2021,7,1
105,3276,3003,31,30,52333,2021,7,1
106,3277,3003,4.7,0.39,51600,2021,7,1
107,3278,3003,163.5,124.75,45000,2021,7,1
108,3279,3003,8,2,55000,2021,7,1
109,3201,3004,944,858,13000,2021,7,2
110,3201,3004,1870,1870,12500,2021,7,2
111,3203,3004,337,330,13000,2021,7,2
112,3204,3004,0,0,12500,2021,7,2
113,3205,3004,226.8,273.75,13500,2021,7,2
114,3206,3004,400,350,13000,2021,7,2
115,3207,3004,81,80,13750,2021,7,2
116,3208,3004,175,862,13500,2021,7,2
117,3209,3004,441,324,12750,2021,7,2
118,3210,3004,704,112,13500,2021,7,2
119,3211,3004,30,640,13500,2021,7,2
120,3212,3004,4,150,14000,2021,7,2
121,3213,3004,51,0.05,13000,2021,7,2
122,3214,3004,241,13,13000,2021,7,2
123,3215,3004,489.25,114.98,13000,2021,7,2
124,3216,3004,0,95,14290,2021,7,2
125,3217,3004,64.75,137.64,13000,2021,7,2
126,3218,3004,1,23,13000,2021,7,2
127,3271,3004,72.12,64.19,13000,2021,7,2
128,3272,3004,29,24,13500,2021,7,2
129,3273,3004,1547,1407,12500,2021,7,2
130,3274,3004,34.91,31.97,13000,2021,7,2
131,3275,3004,310.8,44.4,14000,2021,7,2
132,3276,3004,63,60,14000,2021,7,2
133,3277,3004,1.93,5.5,13000,2021,7,2
134,3278,3004,35.75,28.25,12500,2021,7,2
135,3279,3004,12,10.4,12000,2021,7,2
136,3201,3003,444,428,46000,2021,7,2
137,3201,3003,276,102,59750,2021,7,2
138,3203,3003,381,179,57143,2021,7,2
139,3204,3003,0,0,51857,2021,7,2
140,3205,3003,845.21,100.11,48200,2021,7,2
141,3206,3003,190,130,46500,2021,7,2
142,3207,3003,11,40,73750,2021,7,2
143,3208,3003,15,32,30000,2021,7,2
144,3209,3003,0,108,49000,2021,7,2
145,3210,3003,229,44,42000,2021,7,2
146,3211,3003,27,33,60000,2021,7,2
147,3212,3003,1,3,35000,2021,7,2
148,3213,3003,19,0.05,60000,2021,7,2
149,3214,3003,30,1,56000,2021,7,2
150,3215,3003,29.41,35.25,70000,2021,7,2
151,3216,3003,0,8,55600,2021,7,2
152,3217,3003,335.3,60.04,58000,2021,7,2
153,3218,3003,6,18,60000,2021,7,2
154,3271,3003,93.51,90.27,60000,2021,7,2
155,3272,3003,3,1,65000,2021,7,2
156,3273,3003,483,427,75000,2021,7,2
157,3274,3003,50.23,7.17,35500,2021,7,2
158,3275,3003,45.99,7.3,35000,2021,7,2
159,3276,3003,31,30,60000,2021,7,2
160,3277,3003,0.24,0.39,65000,2021,7,2
161,3278,3003,163.5,124.75,45000,2021,7,2
162,3279,3003,7,2,55000,2021,7,2
163,3201,3002,509,501,25000,2021,7,2
164,3201,3002,352,60,33000,2021,7,2
165,3203,3002,591,70,29571,2021,7,2
166,3204,3002,0,0,44571,2021,7,2
167,3205,3002,3120.43,32.58,25000,2021,7,2
168,3206,3002,278,140,40000,2021,7,2
169,3207,3002,18,15,38750,2021,7,2
170,3208,3002,15,26,25000,2021,7,2
171,3209,3002,13,181,19500,2021,7,2
172,3210,3002,154,27,39200,2021,7,2
173,3211,3002,83,10,40000,2021,7,2
174,3212,3002,2,6,25000,2021,7,2
175,3213,3002,117,0.05,32000,2021,7,2
176,3214,3002,35,1,24000,2021,7,2
177,3215,3002,29.41,35.25,30000,2021,7,2
178,3216,3002,0,5,28800,2021,7,2
179,3217,3002,262.8,21.29,32000,2021,7,2
180,3218,3002,6,9,25000,2021,7,2
181,3271,3002,78.06,74.49,24000,2021,7,2
182,3272,3002,3,1,24000,2021,7,2
183,3273,3002,56,49,39000,2021,7,2
184,3274,3002,80.65,16.32,21000,2021,7,2
185,3275,3002,67.86,9.55,45000,2021,7,2
186,3276,3002,31,30,22000,2021,7,2
187,3277,3002,0.23,0.39,29750,2021,7,2
188,3278,3002,85.75,81.25,30000,2021,7,2
189,3279,3002,4,2,28000,2021,7,2
190,3201,3005,1359,1236,16000,2021,7,2
191,3201,3005,561,561,14000,2021,7,2
192,3203,3005,270,410,15000,2021,7,2
193,3204,3005,0,0,16000,2021,7,2
194,3205,3005,795.5,801.72,14000,2021,7,2
195,3206,3005,950,920,14000,2021,7,2
196,3207,3005,76,219,16000,2021,7,2
197,3208,3005,185,262,15000,2021,7,2
198,3209,3005,4,369,14250,2021,7,2
199,3210,3005,63,221,13300,2021,7,2
200,3211,3005,50,228,16000,2021,7,2
201,3212,3005,9,398,14500,2021,7,2
202,3213,3005,3.6,0.005,14000,2021,7,2
203,3214,3005,293,3,16000,2021,7,2
204,3215,3005,1482.63,98.26,14000,2021,7,2
205,3216,3005,0,129,14800,2021,7,2
206,3217,3005,154.5,91.68,16500,2021,7,2
207,3218,3005,2,83,15000,2021,7,2
208,3271,3005,3.96,3.17,15000,2021,7,2
209,3272,3005,66,65,14000,2021,7,2
210,3273,3005,511,462,14000,2021,7,2
211,3274,3005,46.68,44.39,14500,2021,7,2
212,3275,3005,69.62,9.95,15000,2021,7,2
213,3276,3005,164,156,14000,2021,7,2
214,3277,3005,1.37,5.5,15500,2021,7,2
215,3278,3005,173,165.75,15000,2021,7,2
216,3279,3005,49,39,15000,2021,7,2
217,3201,3006,2467,2194,22000,2021,7,2
218,3201,3006,12365,5996,24000,2021,7,2
219,3203,3006,1218,980,22920,2021,7,2
220,3204,3006,214.18,1117.71,23500,2021,7,2
221,3205,3006,23.9,457.45,22000,2021,7,2
222,3206,3006,648,595,22500,2021,7,2
223,3207,3006,541,189,22500,2021,7,2
224,3208,3006,3041,2961,22000,2021,7,2
225,3209,3006,59,356,22000,2021,7,2
226,3210,3006,497,224,23600,2021,7,2
227,3211,3006,129,2930,25000,2021,7,2
228,3212,3006,284,4457,22000,2021,7,2
229,3213,3006,958,314,22000,2021,7,2
230,3214,3006,79,21,22000,2021,7,2
231,3215,3006,233.36,197.08,24000,2021,7,2
232,3216,3006,5,100,24200,2021,7,2
233,3217,3006,92.24,317.31,23000,2021,7,2
234,3218,3006,82,50,23000,2021,7,2
235,3271,3006,129.18,104.61,23000,2021,7,2
236,3272,3006,59,57,23000,2021,7,2
237,3273,3006,1218,875,22500,2021,7,2
238,3274,3006,54.29,51.56,22000,2021,7,2
239,3275,3006,511.42,78.22,25000,2021,7,2
240,3276,3006,145,139,22000,2021,7,2
241,3277,3006,5.33,23.3,23000,2021,7,2
242,3278,3006,118.5,116,22000,2021,7,2
243,3279,3006,14,13,25000,2021,7,2
244,3201,3007,360,327,120000,2021,7,2
245,3201,3007,27,27,124000,2021,7,2
246,3203,3007,55,20,130000,2021,7,2
247,3204,3007,267.42,336.09,122857,2021,7,2
248,3205,3007,13.9,109.11,120000,2021,7,2
249,3206,3007,100,90,130000,2021,7,2
250,3207,3007,28,13,130000,2021,7,2
251,3208,3007,47,6,120000,2021,7,2
252,3209,3007,79,238,117500,2021,7,2
253,3210,3007,119,15,128000,2021,7,2
254,3211,3007,26,7,130000,2021,7,2
255,3212,3007,249,159,120000,2021,7,2
256,3213,3007,322,111,130000,2021,7,2
257,3214,3007,11,1,110000,2021,7,2
258,3215,3007,213.14,29.64,120000,2021,7,2
259,3216,3007,5,44,130000,2021,7,2
260,3217,3007,122,189.13,125000,2021,7,2
261,3218,3007,15,3,120000,2021,7,2
262,3271,3007,114.66,104.61,125000,2021,7,2
263,3272,3007,22,27,120000,2021,7,2
264,3273,3007,224,147,130000,2021,7,2
265,3274,3007,53.11,50.92,125000,2021,7,2
266,3275,3007,401.57,64.07,130000,2021,7,2
267,3276,3007,65,62,125000,2021,7,2
268,3277,3007,21.07,46.5,122500,2021,7,2
269,3278,3007,154,135.5,125000,2021,7,2
270,3279,3007,5,0.6,120000,2021,7,2
271,3201,3008,52,47,10000,2021,7,2
272,3201,3008,1561,10,12500,2021,7,2
273,3203,3008,1444,461,10000,2021,7,2
274,3204,3008,3188.48,2997.21,16000,2021,7,2
275,3205,3008,10387.35,222.3,9000,2021,7,2
276,3206,3008,1923,1700,10000,2021,7,2
277,3207,3008,1892,2453,8000,2021,7,2
278,3208,3008,40,4,12000,2021,7,2
279,3209,3008,5,5,8000,2021,7,2
280,3210,3008,5522,43,7200,2021,7,2
281,3211,3008,2713,58,11000,2021,7,2
282,3212,3008,264,8,8000,2021,7,2
283,3213,3008,137,35,6000,2021,7,2
284,3214,3008,16,4,9000,2021,7,2
285,3215,3008,356.54,18.61,10400,2021,7,2
286,3216,3008,0,3,9400,2021,7,2
287,3217,3008,122.4,137.5,12000,2021,7,2
288,3218,3008,3,12,7500,2021,7,2
289,3271,3008,9.2,8.72,8000,2021,7,2
290,3272,3008,9,9,8000,2021,7,2
291,3273,3008,301,301,20000,2021,7,2
292,3274,3008,4.27,3.26,9000,2021,7,2
293,3275,3008,29.54,4.22,20000,2021,7,2
294,3276,3008,16,15,10000,2021,7,2
295,3277,3008,0,0,10000,2021,7,2
296,3278,3008,27,24,10000,2021,7,2
297,3279,3008,25,0.3,10000,2021,7,2
298,3201,3009,1953,1750,34000,2021,7,2
299,3201,3009,432,432,34000,2021,7,2
300,3203,3009,1330,455,30857,2021,7,2
301,3204,3009,833.98,1490.81,32428,2021,7,2
302,3205,3009,76.06,586.28,30800,2021,7,2
303,3206,3009,750,430,31000,2021,7,2
304,3207,3009,2889,168,35500,2021,7,2
305,3208,3009,9314,152,35000,2021,7,2
306,3209,3009,450,510,27500,2021,7,2
307,3210,3009,361,144,35000,2021,7,2
308,3211,3009,388,149,34000,2021,7,2
309,3212,3009,406,307,32000,2021,7,2
310,3213,3009,14451,297,35000,2021,7,2
311,3214,3009,26,2,32000,2021,7,2
312,3215,3009,1514.74,142.49,32000,2021,7,2
313,3216,3009,24,149,33600,2021,7,2
314,3217,3009,452.7,398.2,23000,2021,7,2
315,3218,3009,50,46,30000,2021,7,2
316,3271,3009,152.61,139.48,35000,2021,7,2
317,3272,3009,66,66,33000,2021,7,2
318,3273,3009,721,609,31500,2021,7,2
319,3274,3009,63.54,60.71,29500,2021,7,2
320,3275,3009,38000,104.44,38000,2021,7,2
321,3276,3009,142,136,36333,2021,7,2
322,3277,3009,3.94,46.5,33000,2021,7,2
323,3278,3009,146.9,144.5,30000,2021,7,2
324,3279,3009,30,27,30000,2021,7,2
325,3201,3010,14191,12901,11250,2021,7,2
326,3201,3010,11466,5053,9500,2021,7,2
327,3203,3010,13632,5822,10000,2021,7,2
328,3204,3010,6388.04,8845.2,11600,2021,7,2
329,3205,3010,5597.94,6436.45,11500,2021,7,2
330,3206,3010,125101,3695,9500,2021,7,2
331,3207,3010,126408,4259,10500,2021,7,2
332,3208,3010,7016,1728,11000,2021,7,2
333,3209,3010,32155,5311,9300,2021,7,2
334,3210,3010,19641,4670,11000,2021,7,2
335,3211,3010,65096,1829,11000,2021,7,2
336,3212,3010,24287,4113,10500,2021,7,2
337,3213,3010,10406,3304,10000,2021,7,2
338,3214,3010,12334,15,10000,2021,7,2
339,3215,3010,11456.76,1243.12,10300,2021,7,2
340,3216,3010,906,1202,10200,2021,7,2
341,3217,3010,3612.38,3363.79,10000,2021,7,2
342,3218,3010,12795,1350,10000,2021,7,2
343,3271,3010,2292.67,2282.37,10250,2021,7,2
344,3272,3010,769,733,9400,2021,7,2
345,3273,3010,5201,4809,12000,2021,7,2
346,3274,3010,4103.67,635.15,11000,2021,7,2
347,3275,3010,2599.19,425.87,12000,2021,7,2
348,3276,3010,1495,1424,10333,2021,7,2
349,3277,3010,133136,2005,10100,2021,7,2
350,3278,3010,1434,1383,11500,2021,7,2
351,3279,3010,3570,415,9500,2021,7,2
352,3201,3011,204,185,24000,2021,7,2
353,3201,3011,548,548,28000,2021,7,2
354,3203,3011,194,73,28000,2021,7,2
355,3204,3011,0,0,27571,2021,7,2
356,3205,3011,0,59.17,23000,2021,7,2
357,3206,3011,90,80,28000,2021,7,2
358,3207,3011,36,32,30500,2021,7,2
359,3208,3011,160,350,26000,2021,7,2
360,3209,3011,9,83,27500,2021,7,2
361,3210,3011,0,35,30200,2021,7,2
362,3211,3011,10,273,28000,2021,7,2
363,3212,3011,3,4,26000,2021,7,2
364,3213,3011,0,0,28000,2021,7,2
365,3214,3011,30,4,28000,2021,7,2
366,3215,3011,25.21,23.14,26200,2021,7,2
367,3216,3011,0,170,27800,2021,7,2
368,3217,3011,0,0.45,30000,2021,7,2
369,3218,3011,0,11,25000,2021,7,2
370,3271,3011,60.55,52.07,26000,2021,7,2
371,3272,3011,8,8,25000,2021,7,2
372,3273,3011,826,749,26000,2021,7,2
373,3274,3011,26.77,8.48,29000,2021,7,2
374,3275,3011,93.1,14.9,26000,2021,7,2
375,3276,3011,25,24,25000,2021,7,2
376,3277,3011,0.24,0.2,27000,2021,7,2
377,3278,3011,28,23.75,25000,2021,7,2
378,3279,3011,15,4,28000,2021,7,2